"id","area_proses","sg1","sg2","sg3","avg","fuzzy",
"11","Service Delivery","3.71","3.48","3.30","3.50","0.00000000000",
"12","Incident Resolution and Prevention","3.83","3.65","3.70","3.73","0.00000000000",
"13","Service System Development","3.93","3.29","3.26","3.49","0.00000000000",
"14","Service System Transition","3.00","3.43","0.00","3.22","0.00000000000",
"15","Strategic Service Management","3.48","3.86","0.00","3.67","0.00000000000",
"16","Configuration Management","3.14","3.57","0.00","3.36","0.00000000000",
"17","Measurement and Analysis","2.93","3.18","0.00","3.06","0.00000000000",
"18","Process and Product Quality Assurance","3.00","3.33","0.00","3.17","0.00000000000",
"19","Decision Analysis and Resolution","3.10","0.00","0.00","3.10","0.00000000000",
"20","Causal Analysis and Resolution","3.24","3.29","0.00","3.27","0.00000000000",
"21","Organizational Process Definition","3.32","0.00","0.00","3.32","0.00000000000",
"22","Organizational Process Focus","3.03","3.00","3.64","3.22","0.00000000000",
"23","Organizational Training","3.60","3.53","0.00","3.57","0.00000000000",
"24","Organizational Process Performance","3.34","0.00","0.00","3.34","0.00000000000",
"25","Organizational Performance Management","2.95","3.21","3.07","3.08","0.00000000000",

"26","Requirement Management","3.63","0.00","0.00","3.63","0.00000000000",
"27","Supplier Agreement Management","3.65","3.70","0.00","3.68","0.00000000000",
"28","Work Monitoring and Control","3.63","3.27","0.00","3.45","0.00000000000",
"29","Work Planning","3.15","3.33","3.29","3.26","0.00000000000",
"30","Capacity and Availability Management","3.00","2.94","0.00","2.97","0.00000000000",
"31","Integrated Work Management","3.03","0.00","0.00","3.03","0.00000000000",
"32","Risk Management","3.56","3.30","3.50","3.45","0.00000000000",
"33","Service Continuity","3.27","3.50","3.19","3.32","0.00000000000",
"34","Quantitative Work Management","3.29","3.50","0.00","3.40","0.00000000000",
